game_date,home_team,away_team,defteam,yrdln,play_type,td_team,td_player_name,receiver_player_name,rusher_player_name,fixed_drive_result
2023-09-10,WAS,ARI,NA,ARI 35,NA,NA,NA,NA,NA,Punt
2023-09-10,WAS,ARI,ARI,ARI 35,kickoff,NA,NA,NA,NA,Punt
2023-09-10,WAS,ARI,ARI,WAS 25,run,NA,NA,NA,B.Robinson,Punt
2023-09-10,WAS,ARI,ARI,WAS 28,pass,NA,NA,J.Dotson,NA,Punt
2023-09-10,WAS,ARI,ARI,WAS 34,run,NA,NA,NA,C.Rodriguez,Punt
2023-09-10,WAS,ARI,ARI,WAS 36,pass,NA,NA,L.Thomas,NA,Punt
2023-09-10,WAS,ARI,ARI,WAS 36,pass,NA,NA,J.Dotson,NA,Punt
2023-09-10,WAS,ARI,ARI,WAS 48,pass,NA,NA,C.Samuel,NA,Punt
2023-09-10,WAS,ARI,ARI,WAS 49,pass,NA,NA,L.Thomas,NA,Punt
2023-09-10,WAS,ARI,ARI,WAS 49,pass,NA,NA,C.Samuel,NA,Punt
2023-09-10,WAS,ARI,ARI,ARI 49,punt,NA,NA,NA,NA,Punt
2023-09-10,WAS,ARI,WAS,ARI 17,run,NA,NA,NA,J.Conner,Punt
2023-09-10,WAS,ARI,WAS,ARI 16,run,NA,NA,NA,J.Conner,Punt
2023-09-10,WAS,ARI,WAS,ARI 22,pass,NA,NA,Z.Ertz,NA,Punt
2023-09-10,WAS,ARI,WAS,ARI 28,pass,NA,NA,Z.Pascal,NA,Punt
2023-09-10,WAS,ARI,WAS,ARI 28,pass,NA,NA,Z.Ertz,NA,Punt
2023-09-10,WAS,ARI,WAS,ARI 25,run,NA,NA,NA,J.Conner,Punt
2023-09-10,WAS,ARI,WAS,ARI 30,punt,NA,NA,NA,NA,Punt
2023-09-10,WAS,ARI,ARI,WAS 9,no_play,NA,NA,NA,NA,Touchdown
2023-09-10,WAS,ARI,ARI,WAS 24,pass,NA,NA,L.Thomas,NA,Touchdown
2023-09-10,WAS,ARI,ARI,WAS 30,run,NA,NA,NA,A.Gibson,Touchdown
2023-09-10,WAS,ARI,ARI,WAS 33,pass,NA,NA,J.Dotson,NA,Touchdown
2023-09-10,WAS,ARI,ARI,ARI 49,run,NA,NA,NA,B.Robinson,Touchdown
2023-09-10,WAS,ARI,ARI,MID 50,no_play,NA,NA,NA,NA,Touchdown
2023-09-10,WAS,ARI,ARI,ARI 13,run,NA,NA,NA,C.Samuel,Touchdown
2023-09-10,WAS,ARI,ARI,ARI 7,pass,WAS,B.Robinson,B.Robinson,NA,Touchdown
2023-09-10,WAS,ARI,ARI,ARI 15,extra_point,NA,NA,NA,NA,Touchdown
2023-09-10,WAS,ARI,WAS,WAS 35,kickoff,NA,NA,NA,NA,Field goal
2023-09-10,WAS,ARI,WAS,ARI 25,run,NA,NA,NA,R.Moore,Field goal
2023-09-10,WAS,ARI,WAS,ARI 29,run,NA,NA,NA,M.Brown,Field goal
2023-09-10,WAS,ARI,WAS,WAS 42,pass,NA,NA,J.Conner,NA,Field goal
2023-09-10,WAS,ARI,WAS,WAS 43,pass,NA,NA,R.Moore,NA,Field goal
2023-09-10,WAS,ARI,NA,WAS 12,no_play,NA,NA,NA,NA,Field goal
2023-09-10,WAS,ARI,WAS,WAS 12,pass,NA,NA,Z.Ertz,NA,Field goal
2023-09-10,WAS,ARI,WAS,WAS 12,run,NA,NA,NA,J.Dobbs,Field goal
2023-09-10,WAS,ARI,WAS,WAS 11,pass,NA,NA,Z.Ertz,NA,Field goal
2023-09-10,WAS,ARI,WAS,WAS 11,field_goal,NA,NA,NA,NA,Field goal
